,No.overall,No. inseason,Directed by,viewers(millions),story_writer,teleplay_writer,season,Penny,Howard,Sheldon,Leonard,Raj,Bernadette,Amy,Ave_length,imdb_rating_count,imdb_rating
13,14,14,Mark Cendrowski,8.07, Bill Prady, Bill Prady,1,29.0,26.0,59.0,76.0,41.0,0.0,0.0,13.475609756097562,3509,8.1
14,15,15,Mark Cendrowski,7.38, Chuck Lorre, Chuck Lorre,1,17.0,37.0,58.0,57.0,21.0,0.0,0.0,12.474509803921569,3700,8.3
15,16,16,Mark Cendrowski,7.79, Bill Prady & Lee Aronsohn, Bill Prady & Lee Aronsohn,1,69.0,59.0,52.0,38.0,4.0,0.0,0.0,13.592156862745098,3489,8.4
16,17,17,Mark Cendrowski,7.34, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,1,70.0,14.0,57.0,71.0,5.0,0.0,0.0,13.584415584415584,3655,8.6
17,18,1,Mark Cendrowski,9.36, Bill Prady, Bill Prady,2,45.0,30.0,75.0,62.0,23.0,0.0,0.0,12.657370517928287,3573,8.3
18,19,2,Mark Cendrowski,8.76, Chuck Lorre, Chuck Lorre,2,38.0,15.0,76.0,66.0,13.0,0.0,0.0,11.901515151515152,3279,8.1
19,20,3,Mark Cendrowski,9.33, Nicole Lorre, Nicole Lorre,2,70.0,9.0,84.0,38.0,6.0,0.0,0.0,12.745019920318725,3813,8.8
20,21,4,Mark Cendrowski,9.36, Bill Prady & Chuck Lorre, Bill Prady & Chuck Lorre,2,30.0,35.0,55.0,63.0,56.0,0.0,0.0,12.025735294117647,3300,8.0
21,22,5,Mark Cendrowski,9.28, Bill Prady & Steven Molaro, Bill Prady & Steven Molaro,2,36.0,18.0,90.0,45.0,7.0,0.0,0.0,11.241803278688524,3381,8.4
22,23,6,Mark Cendrowski,9.67, Stephen Engel & Daley Haggar, Stephen Engel & Daley Haggar,2,32.0,12.0,74.0,48.0,5.0,0.0,0.0,10.725563909774436,3402,8.3
23,24,7,Mark Cendrowski,10.01, Bill Prady & Tim Doyle, Bill Prady & Tim Doyle,2,74.0,41.0,67.0,61.0,14.0,0.0,0.0,10.316725978647687,3607,8.7
24,25,8,Mark Cendrowski,9.76, Bill Prady, Bill Prady,2,20.0,50.0,45.0,67.0,18.0,0.0,0.0,11.079051383399209,3256,8.2
25,26,9,Mark Cendrowski,10.19, Dave Goetsch & Steven Molaro, Dave Goetsch & Steven Molaro,2,35.0,10.0,85.0,49.0,8.0,0.0,0.0,11.731601731601732,3224,8.2
26,27,10,Mark Cendrowski,10.8, Chuck Lorre & Steven Molaro, Chuck Lorre & Steven Molaro,2,45.0,11.0,33.0,83.0,6.0,0.0,0.0,10.941666666666666,3150,7.8
27,28,11,Mark Cendrowski,11.42, Bill Prady & Richard Rosenstock, Bill Prady & Richard Rosenstock,2,50.0,27.0,40.0,60.0,11.0,0.0,0.0,11.55,5400,9.2
28,29,12,Mark Cendrowski,11.81, Bill Prady & Richard Rosenstock, Bill Prady & Richard Rosenstock,2,47.0,50.0,30.0,43.0,21.0,0.0,0.0,12.396475770925111,3168,8.0
29,30,13,Mark Cendrowski,11.1, Bill Prady & Richard Rosenstock, Bill Prady & Richard Rosenstock,2,19.0,19.0,76.0,43.0,10.0,0.0,0.0,13.470319634703197,3179,8.1
30,31,14,Mark Cendrowski,10.89, Chuck Lorre & Steven Molaro, Chuck Lorre & Steven Molaro,2,66.0,19.0,58.0,81.0,15.0,0.0,0.0,11.49433962264151,3130,8.1
31,32,15,Mark Cendrowski,13.11, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,2,47.0,16.0,29.0,64.0,6.0,0.0,0.0,11.444444444444445,3822,8.9
32,33,16,Mark Cendrowski,10.94, Chuck Lorre, Chuck Lorre,2,36.0,63.0,47.0,62.0,8.0,0.0,0.0,10.555984555984557,3159,8.2
33,34,17,Mark Cendrowski,9.46, Bill Prady & Dave Goetsch, Bill Prady & Dave Goetsch,2,25.0,36.0,61.0,52.0,22.0,0.0,0.0,14.09375,3451,8.2
34,35,18,Peter Chakos,9.76, Bill Prady & Lee Aronsohn, Bill Prady & Lee Aronsohn,2,77.0,25.0,73.0,41.0,8.0,0.0,0.0,11.650205761316872,3170,8.2
35,36,19,Mark Cendrowski,9.77,collaboration,collaboration,2,68.0,22.0,56.0,38.0,4.0,0.0,0.0,11.213438735177865,3210,8.2
36,37,20,Mark Cendrowski,10.13,collaboration,collaboration,2,32.0,42.0,51.0,49.0,16.0,0.0,0.0,11.774058577405858,3074,8.0
37,38,21,Mark Cendrowski,9.31, Jessica Ambrosetti & Nicole Lorre & Andrew Roth, Jessica Ambrosetti & Nicole Lorre & Andrew Roth,2,45.0,30.0,59.0,46.0,39.0,0.0,0.0,10.357692307692307,3338,8.6
38,39,22,Mark Cendrowski,9.25, Chuck Lorre & Lee Aronsohn, Chuck Lorre & Lee Aronsohn,2,19.0,35.0,33.0,67.0,21.0,0.0,0.0,11.521739130434783,3043,8.3
39,40,23,Mark Cendrowski,9.81,collaboration,collaboration,2,32.0,27.0,82.0,73.0,18.0,0.0,0.0,11.801556420233464,3140,8.3
40,41,1,Mark Cendrowski,12.96,collaboration,collaboration,3,35.0,29.0,50.0,51.0,18.0,0.0,0.0,13.552631578947368,3401,8.4
41,42,2,Mark Cendrowski,13.27,collaboration,collaboration,3,31.0,36.0,63.0,45.0,30.0,0.0,0.0,12.217021276595744,3078,7.9
42,43,3,Mark Cendrowski,12.52, Lee Aronsohn & Richard Rosenstock, Lee Aronsohn & Richard Rosenstock,3,34.0,52.0,46.0,38.0,38.0,0.0,0.0,10.296875,3154,8.2
43,44,4,Mark Cendrowski,13.07,collaboration,collaboration,3,27.0,34.0,67.0,32.0,72.0,0.0,0.0,11.577946768060837,3082,8.1
44,45,5,Mark Cendrowski,13.47, Chuck Lorre & Bill Prady, Chuck Lorre & Bill Prady,3,26.0,46.0,46.0,38.0,29.0,21.0,0.0,11.8,3147,8.4
45,46,6,Mark Cendrowski,12.73, Bill Prady & Steven Molaro, Bill Prady & Steven Molaro,3,32.0,36.0,39.0,67.0,40.0,0.0,0.0,12.420600858369099,2953,7.6
46,47,7,Mark Cendrowski,12.79, Chuck Lorre & Lee Aronsohn, Chuck Lorre & Lee Aronsohn,3,70.0,21.0,61.0,59.0,14.0,0.0,0.0,13.39453125,2968,7.9
47,48,8,Mark Cendrowski,13.23, Chuck Lorre & Bill Prady & Dave Goetsch, Chuck Lorre & Bill Prady & Dave Goetsch,3,59.0,31.0,63.0,26.0,30.0,0.0,0.0,10.909090909090908,4271,9.0
48,49,9,Mark Cendrowski,14.13, Chuck Lorre & Maria Ferrari, Chuck Lorre & Maria Ferrari,3,22.0,48.0,38.0,32.0,18.0,21.0,0.0,12.929577464788732,3145,8.4
49,50,10,Mark Cendrowski,14.38, Chuck Lorre & Richard Rosenstock & Steve Holland, Chuck Lorre & Richard Rosenstock & Steve Holland,3,55.0,57.0,59.0,35.0,3.0,38.0,0.0,11.160919540229886,3214,8.6
50,51,11,Mark Cendrowski,15.58, Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria Ferrari, Lee Aronsohn & Steven Molaro & Richard Rosenstock & Maria Ferrari,3,53.0,9.0,42.0,57.0,0.0,0.0,0.0,11.531645569620252,3088,8.3
51,52,12,Mark Cendrowski,15.82, Lee Aronsohn & Steven Molaro, Lee Aronsohn & Steven Molaro,3,22.0,23.0,50.0,41.0,41.0,7.0,0.0,12.17674418604651,3059,8.4
52,53,13,Mark Cendrowski,14.99, Bill Prady & Lee Aronsohn & Jim Reynolds, Bill Prady & Lee Aronsohn & Jim Reynolds,3,23.0,12.0,68.0,43.0,7.0,0.0,0.0,13.445652173913043,2973,8.1
53,54,14,Mark Cendrowski,15.51, Lee Aronsohn & Dave Goetsch & Steve Holland, Lee Aronsohn & Dave Goetsch & Steve Holland,3,33.0,15.0,67.0,56.0,12.0,11.0,0.0,10.95111111111111,3231,8.5
54,55,15,Mark Cendrowski,16.26, Chuck Lorre & Steven Molaro & Jim Reynolds, Chuck Lorre & Steven Molaro & Jim Reynolds,3,39.0,14.0,62.0,67.0,18.0,0.0,0.0,13.045871559633028,2903,8.1
55,56,16,Peter Chakos,15.73, Chuck Lorre & Lee Aronsohn & Steven Molaro, Chuck Lorre & Lee Aronsohn & Steven Molaro,3,58.0,22.0,64.0,30.0,11.0,0.0,0.0,13.444444444444445,3012,8.4
56,57,17,Mark Cendrowski,16.32, Lee Aronsohn & Eric Kaplan & Maria Ferrari, Lee Aronsohn & Eric Kaplan & Maria Ferrari,3,18.0,41.0,38.0,51.0,44.0,0.0,0.0,13.393518518518519,3203,8.5
